position, density-ex, pressure-ex, internal-energy-ex, velocity-ex, zero
0.968500, 3.321733, 0.099073, 0.074565, 0.311895, 0.
0.969000, 3.350116, 0.099466, 0.074226, 0.312214, 0.
0.969500, 3.378812, 0.099863, 0.073889, 0.312535, 0.
0.970000, 3.407825, 0.100263, 0.073553, 0.312856, 0.
0.970500, 3.437212, 0.100667, 0.073219, 0.313177, 0.
0.971000, 3.466926, 0.101075, 0.072885, 0.313500, 0.
0.971500, 3.496971, 0.101486, 0.072553, 0.313823, 0.
0.972000, 3.527352, 0.101902, 0.072223, 0.314146, 0.
0.972500, 3.558131, 0.102322, 0.071893, 0.314471, 0.
0.973000, 3.589256, 0.102746, 0.071565, 0.314796, 0.
0.973500, 3.620733, 0.103174, 0.071238, 0.315121, 0.
0.974000, 3.652565, 0.103605, 0.070913, 0.315448, 0.
0.974500, 3.684820, 0.104042, 0.070589, 0.315775, 0.
0.975000, 3.717443, 0.104483, 0.070266, 0.316102, 0.
0.975500, 3.750438, 0.104927, 0.069944, 0.316431, 0.
0.976000, 3.783812, 0.105376, 0.069623, 0.316759, 0.
0.976500, 3.817635, 0.105830, 0.069304, 0.317089, 0.
0.977000, 3.851848, 0.106288, 0.068986, 0.317419, 0.
0.977500, 3.886457, 0.106750, 0.068669, 0.317750, 0.
0.978000, 3.921468, 0.107217, 0.068353, 0.318082, 0.
0.978500, 3.956956, 0.107689, 0.068038, 0.318414, 0.
0.979000, 3.992860, 0.108166, 0.067725, 0.318747, 0.
0.979500, 4.029184, 0.108647, 0.067413, 0.319081, 0.
0.980000, 4.065936, 0.109132, 0.067102, 0.319415, 0.
0.980500, 4.103195, 0.109624, 0.066792, 0.319750, 0.
0.981000, 4.140896, 0.110119, 0.066483, 0.320086, 0.
0.981500, 4.179045, 0.110620, 0.066176, 0.320422, 0.
0.982000, 4.217650, 0.111126, 0.065869, 0.320759, 0.
0.982500, 4.256793, 0.111637, 0.065564, 0.321097, 0.
0.983000, 4.296408, 0.112153, 0.065260, 0.321435, 0.
0.983500, 4.336500, 0.112674, 0.064957, 0.321774, 0.
0.984000, 4.377076, 0.113201, 0.064655, 0.322114, 0.
0.984500, 4.418226, 0.113733, 0.064355, 0.322454, 0.
0.985000, 4.459879, 0.114271, 0.064055, 0.322795, 0.
0.985500, 4.502040, 0.114814, 0.063757, 0.323137, 0.
0.986000, 4.544718, 0.115362, 0.063459, 0.323479, 0.
0.986500, 4.588008, 0.115917, 0.063163, 0.323822, 0.
0.987000, 4.631833, 0.116477, 0.062868, 0.324166, 0.
0.987500, 4.676201, 0.117043, 0.062574, 0.324510, 0.
0.988000, 4.721120, 0.117614, 0.062281, 0.324855, 0.
0.988500, 4.766693, 0.118192, 0.061989, 0.325201, 0.
0.989000, 4.812836, 0.118776, 0.061698, 0.325547, 0.
0.989500, 4.859558, 0.119366, 0.061408, 0.325894, 0.
0.990000, 4.906869, 0.119962, 0.061119, 0.326242, 0.
0.990500, 4.954878, 0.120565, 0.060832, 0.326590, 0.
0.991000, 5.003497, 0.121174, 0.060545, 0.326939, 0.
0.991500, 5.052735, 0.121789, 0.060259, 0.327289, 0.
0.992000, 5.102601, 0.122411, 0.059975, 0.327639, 0.
0.992500, 5.153214, 0.123040, 0.059691, 0.327990, 0.
0.993000, 5.204478, 0.123675, 0.059409, 0.328342, 0.
0.993500, 5.256404, 0.124317, 0.059127, 0.328694, 0.
0.994000, 5.309002, 0.124966, 0.058846, 0.329047, 0.
0.994500, 5.362399, 0.125623, 0.058567, 0.329401, 0.
0.995000, 5.416494, 0.126286, 0.058288, 0.329755, 0.
0.995500, 5.471296, 0.126957, 0.058011, 0.330110, 0.
0.996000, 5.526818, 0.127634, 0.057734, 0.330465, 0.
0.996500, 5.583196, 0.128320, 0.057458, 0.330822, 0.
0.997000, 5.640320, 0.129013, 0.057184, 0.331178, 0.
0.997500, 5.698203, 0.129713, 0.056910, 0.331536, 0.
0.998000, 5.756857, 0.130421, 0.056637, 0.331894, 0.
0.998500, 5.816428, 0.131137, 0.056365, 0.332253, 0.
0.999000, 5.876799, 0.131862, 0.056095, 0.332612, 0.
0.999500, 5.937983, 0.132593, 0.055825, 0.332973, 0.
1.000000, 5.999995, 0.133333, 0.055556, 0.333333, 0.
1.000500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.001000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.001500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.002000, 1.000000, 0.000000, 0.000000, 0.000000, 0.
1.002500, 1.000000, 0.000000, 0.000000, 0.000000, 0.
