"arc_length","Density","EnergyStagnationDensity","MomentumX"
3.699,0.290945,0.0293323,0.0981565
3.708,0.289466,0.0292501,0.097983
3.717,0.287992,0.0291682,0.097808
3.726,0.286523,0.0290865,0.0976314
3.735,0.285059,0.0290051,0.0974531
3.744,0.2836,0.0289239,0.0972733
3.753,0.282146,0.0288429,0.097092
3.762,0.280697,0.0287623,0.096909
3.771,0.279252,0.0286818,0.0967245
3.78,0.277813,0.0286016,0.0965385
3.789,0.276379,0.0285216,0.096351
3.798,0.27495,0.0284418,0.096162
3.807,0.273525,0.0283623,0.0959715
3.816,0.272106,0.0282829,0.0957795
3.825,0.270691,0.0282038,0.0955861
3.834,0.269282,0.028125,0.0953913
3.843,0.267877,0.0280463,0.0951949
3.852,0.266477,0.0279678,0.0949972
3.861,0.265082,0.0278895,0.0947981
3.87,0.263692,0.0278114,0.0945976
3.879,0.262307,0.0277335,0.0943957
3.888,0.260926,0.0276558,0.0941924
3.897,0.259551,0.0275783,0.0939879
3.906,0.258181,0.027501,0.093782
3.915,0.256815,0.0274238,0.0935747
3.924,0.255453,0.0273469,0.0933661
3.933,0.254097,0.0272701,0.0931563
3.942,0.252746,0.0271935,0.0929452
3.951,0.2514,0.027117,0.0927328
3.96,0.250058,0.0270407,0.0925191
3.969,0.248721,0.0269646,0.0923042
3.978,0.247389,0.0268886,0.0920882
3.987,0.246062,0.0268128,0.0918709
3.996,0.244739,0.0267372,0.0916523
4.005,0.243421,0.0266617,0.0914325
4.014,0.242108,0.0265863,0.0912117
4.023,0.2408,0.0265111,0.0909897
4.032,0.239497,0.026436,0.0907665
4.041,0.238198,0.0263611,0.0905421
4.05,0.236904,0.0262863,0.0903166
4.059,0.235615,0.0262117,0.0900901
4.068,0.23433,0.0261372,0.0898625
4.077,0.233051,0.0260628,0.0896337
4.086,0.231775,0.0259885,0.0894038
4.095,0.230505,0.0259143,0.0891729
4.104,0.229239,0.0258403,0.0889411
4.113,0.227978,0.0257664,0.0887082
4.122,0.226722,0.0256926,0.0884742
4.131,0.22547,0.0256189,0.0882391
4.14,0.224223,0.0255454,0.0880031
4.149,0.22298,0.0254719,0.0877662
4.158,0.221743,0.0253986,0.0875283
4.167,0.220509,0.0253253,0.0872894
4.176,0.21928,0.0252522,0.0870494
4.185,0.218056,0.0251791,0.0868086
4.194,0.216837,0.0251062,0.086567
4.203,0.215623,0.0250334,0.0863245
4.212,0.214412,0.0249606,0.0860809
4.221,0.213206,0.0248879,0.0858364
4.23,0.212005,0.0248153,0.0855911
4.239,0.210809,0.0247428,0.085345
4.248,0.209617,0.0246704,0.0850981
4.257,0.208429,0.0245981,0.0848502
4.266,0.207246,0.0245258,0.0846014
4.275,0.206067,0.0244536,0.0843518
4.284,0.204893,0.0243815,0.0841016
4.293,0.203724,0.0243095,0.0838505
4.302,0.202559,0.0242375,0.0835987
4.311,0.201398,0.0241656,0.0833459
4.32,0.200241,0.0240937,0.0830923
4.329,0.199089,0.0240219,0.0828381
4.338,0.197942,0.0239503,0.0825833
4.347,0.196799,0.0238786,0.0823277
4.356,0.195661,0.023807,0.0820712
4.365,0.194526,0.0237355,0.081814
4.374,0.193396,0.023664,0.0815561
4.383,0.192271,0.0235925,0.0812976
