"arc_length"	"Density","EnergyStagnationDensity","Ma","|m_i|"
0.319966	0.0163969	0.109903	0.0549942	0.00174693
0.321734	0.0168018	0.109915	0.056436	0.00181497
0.323501	0.0172102	0.109927	0.0578716	0.00188342
0.325269	0.0176222	0.109938	0.0593008	0.00195229
0.327037	0.0181041	0.109951	0.0609401	0.0020344
0.328805	0.0185922	0.109964	0.0625769	0.00211731
0.330572	0.0190864	0.109977	0.0642113	0.00220105
0.33234	0.0195867	0.10999	0.0658433	0.0022856
0.334108	0.0201761	0.110005	0.0676873	0.00238582
0.335876	0.0207756	0.110019	0.069534	0.00248745
0.337643	0.0213853	0.110034	0.0713834	0.00259048
0.339411	0.0220051	0.110049	0.0732354	0.00269491
0.341179	0.0227381	0.110066	0.0753052	0.00281828
0.342947	0.0234864	0.110084	0.0773835	0.00294383
0.344715	0.02425	0.110101	0.0794702	0.00307155
0.346482	0.025029	0.110119	0.0815653	0.00320146
0.34825	0.025949	0.110139	0.0838839	0.00335424
0.350018	0.0268899	0.11016	0.0862159	0.00351009
0.351786	0.0278518	0.110181	0.0885615	0.00366899
0.353553	0.0288493	0.110202	0.0909398	0.00383273
0.355321	0.0300021	0.110226	0.0935235	0.00402185
0.357089	0.0311662	0.110251	0.0961021	0.00421294
0.358857	0.0323554	0.110275	0.098695	0.00440775
0.360624	0.0335696	0.1103	0.101302	0.00460628
0.362392	0.0349739	0.110328	0.104114	0.00483486
0.36416	0.0364028	0.110357	0.106934	0.00506721
0.365928	0.0378565	0.110387	0.109762	0.00530332
0.367696	0.0393349	0.110416	0.112597	0.00554318
0.369463	0.0409673	0.11045	0.115536	0.00580768
0.371231	0.0426162	0.110483	0.118466	0.00607471
0.372999	0.0442815	0.110517	0.121388	0.00634428
0.374767	0.0459633	0.110551	0.124302	0.0066164
0.376534	0.0477426	0.110588	0.127215	0.00690435
0.378302	0.0495274	0.110626	0.130105	0.00719311
0.38007	0.0513177	0.110663	0.13297	0.0074827
0.381838	0.0531135	0.110701	0.135813	0.00777311
0.383605	0.054952	0.110742	0.138581	0.00807062
0.385373	0.0567895	0.110784	0.141319	0.00836785
0.387141	0.0586259	0.110825	0.144028	0.00866481
0.388909	0.0604766	0.110868	0.146716	0.00896319
0.390676	0.0623655	0.110916	0.149346	0.00926837
0.392444	0.0642445	0.110964	0.151946	0.00957236
0.394212	0.0661272	0.111012	0.154528	0.0098769
0.39598	0.0680136	0.111062	0.157092	0.010182
0.397748	0.0700559	0.111118	0.159749	0.0105122
0.399515	0.0721303	0.111177	0.162425	0.0108476
0.401283	0.0742367	0.111236	0.16512	0.0111883
0.403051	0.0763752	0.111297	0.167835	0.0115342
0.404819	0.0787355	0.111366	0.170731	0.0119179
0.406586	0.081136	0.111437	0.173656	0.0123085
0.408354	0.0835767	0.111509	0.176609	0.0127061
0.410122	0.0860575	0.111583	0.179592	0.0131106
0.41189	0.088747	0.111664	0.182744	0.0135534
0.413657	0.0914668	0.111747	0.185914	0.0140021
0.415425	0.0942167	0.11183	0.189102	0.0144566
0.417193	0.0969968	0.111915	0.192308	0.0149169
0.418961	0.0999135	0.112005	0.19561	0.0154062
0.420729	0.102841	0.112095	0.198911	0.0158986
0.422496	0.10578	0.112185	0.20221	0.0163939
0.424264	0.108722	0.112275	0.205489	0.01689
0.426032	0.111736	0.112369	0.2088	0.0174057
0.4278	0.114758	0.112463	0.212106	0.0179239
0.429567	0.117781	0.112557	0.215399	0.0184432
0.431335	0.120807	0.112651	0.218677	0.0189636
0.433103	0.123901	0.112746	0.221964	0.0195012
0.434871	0.127007	0.112842	0.225246	0.0200416
0.436638	0.130125	0.112939	0.228525	0.0205847
0.438406	0.133255	0.113037	0.231798	0.0211306
0.440174	0.136506	0.113142	0.235137	0.0217037
0.441942	0.139778	0.113248	0.238481	0.0222812
0.443709	0.14307	0.113357	0.241829	0.0228633
0.445477	0.146384	0.113467	0.245182	0.0234499
0.447245	0.149855	0.113589	0.248634	0.0240711
0.449013	0.153349	0.113712	0.252094	0.0246976
0.450781	0.156868	0.113837	0.25556	0.0253293
0.452548	0.160411	0.113964	0.259034	0.0259663
0.454316	0.16412	0.1141	0.26261	0.0266403
0.456084	0.167848	0.114236	0.266189	0.0273188
0.457852	0.171596	0.114373	0.269772	0.0280018
0.459619	0.175364	0.114509	0.273361	0.0286896
0.461387	0.179272	0.114648	0.277043	0.0294118
0.463155	0.183189	0.114786	0.28072	0.0301369
0.464923	0.187117	0.114923	0.284393	0.030865
0.46669	0.191055	0.115059	0.288064	0.0315961
0.468458	0.195124	0.115204	0.291883	0.0323691
0.470226	0.199203	0.115351	0.29572	0.0331478
0.471994	0.20329	0.115501	0.299574	0.0339325
0.473762	0.207386	0.115654	0.303445	0.034723
