"arc_length","Cspd","Density","eint","pres","velx"
2.538,0.269267,0.527122,0.065254,0.0229312,0.1922
2.547,0.268892,0.524923,0.0650724,0.022772,0.193325
2.556,0.268517,0.52273,0.0648911,0.0226137,0.19445
2.565,0.268142,0.520544,0.06471,0.0224563,0.195575
2.574,0.267767,0.518364,0.0645292,0.0222997,0.196699
2.583,0.267392,0.51619,0.0643487,0.0221441,0.197824
2.592,0.267017,0.514022,0.0641684,0.0219893,0.198948
2.601,0.266642,0.51186,0.0639883,0.0218354,0.200073
2.61,0.266268,0.509704,0.0638086,0.0216823,0.201197
2.619,0.265893,0.507555,0.063629,0.0215302,0.202322
2.628,0.265518,0.505412,0.0634498,0.0213788,0.203446
2.637,0.265143,0.503274,0.0632708,0.0212284,0.204571
2.646,0.264768,0.501143,0.063092,0.0210788,0.205695
2.655,0.264394,0.499018,0.0629136,0.02093,0.206819
2.664,0.264019,0.496899,0.0627353,0.0207821,0.207944
2.673,0.263644,0.494786,0.0625574,0.020635,0.209068
2.682,0.263269,0.49268,0.0623797,0.0204888,0.210192
2.691,0.262895,0.490579,0.0622022,0.0203434,0.211316
2.7,0.26252,0.488484,0.062025,0.0201988,0.21244
2.709,0.262145,0.486395,0.0618481,0.0200551,0.213564
2.718,0.261771,0.484313,0.0616714,0.0199122,0.214688
2.727,0.261396,0.482236,0.061495,0.0197701,0.215812
2.736,0.261021,0.480166,0.0613189,0.0196288,0.216936
2.745,0.260647,0.478101,0.061143,0.0194883,0.21806
2.754,0.260272,0.476042,0.0609673,0.0193487,0.219184
2.763,0.259897,0.47399,0.0607919,0.0192098,0.220308
2.772,0.259523,0.471943,0.0606168,0.0190718,0.221432
2.781,0.259148,0.469902,0.0604419,0.0189345,0.222556
2.79,0.258773,0.467867,0.0602673,0.0187981,0.22368
2.799,0.258399,0.465838,0.060093,0.0186624,0.224804
2.808,0.258024,0.463815,0.0599188,0.0185275,0.225927
2.817,0.25765,0.461798,0.059745,0.0183934,0.227051
2.826,0.257275,0.459787,0.0595714,0.0182601,0.228175
2.835,0.2569,0.457781,0.059398,0.0181275,0.229299
2.844,0.256526,0.455781,0.0592249,0.0179957,0.230423
2.853,0.256151,0.453787,0.059052,0.0178647,0.231547
2.862,0.255776,0.451798,0.0588794,0.0177344,0.232671
2.871,0.255402,0.449815,0.058707,0.0176049,0.233795
2.88,0.255027,0.447838,0.0585348,0.0174761,0.23492
2.889,0.254652,0.445866,0.0583629,0.017348,0.236044
2.898,0.254277,0.4439,0.0581911,0.0172207,0.237169
2.907,0.253902,0.441939,0.0580196,0.0170941,0.238294
2.916,0.253527,0.439984,0.0578484,0.0169682,0.239419
2.925,0.253152,0.438033,0.0576773,0.0168431,0.240544
2.934,0.252777,0.436088,0.0575064,0.0167186,0.24167
2.943,0.252401,0.434148,0.0573357,0.0165948,0.242797
2.952,0.252026,0.432212,0.0571652,0.0164717,0.243923
2.961,0.25165,0.430282,0.0569948,0.0163492,0.245051
2.97,0.251274,0.428355,0.0568245,0.0162274,0.246179
2.979,0.250897,0.426432,0.0566544,0.0161062,0.247309
2.988,0.25052,0.424513,0.0564842,0.0159855,0.24844
2.997,0.250142,0.422593,0.0563138,0.0158652,0.249575
3.006,0.249765,0.420684,0.0561441,0.015746,0.250706
3.015,0.249389,0.41879,0.0559755,0.015628,0.251833
3.024,0.249014,0.416902,0.0558071,0.0155107,0.252959
3.033,0.248638,0.415019,0.0556389,0.0153941,0.254085
3.042,0.248263,0.413142,0.055471,0.0152783,0.255211
3.051,0.247887,0.41127,0.0553034,0.0151631,0.256338
3.06,0.247512,0.409405,0.055136,0.0150486,0.257464
3.069,0.247137,0.407544,0.0549689,0.0149348,0.25859
3.078,0.246761,0.40569,0.054802,0.0148217,0.259716
3.087,0.246386,0.403841,0.0546354,0.0147094,0.260843
3.096,0.24601,0.401998,0.054469,0.0145976,0.261969
3.105,0.245635,0.400161,0.0543029,0.0144866,0.263095
3.114,0.24526,0.398329,0.0541371,0.0143762,0.264221
3.123,0.244884,0.396503,0.0539715,0.0142666,0.265347
3.132,0.244509,0.394682,0.0538061,0.0141576,0.266473
3.141,0.244134,0.392868,0.0536411,0.0140492,0.267599
3.15,0.243758,0.391058,0.0534762,0.0139415,0.268725
3.159,0.243383,0.389255,0.0533117,0.0138345,0.269851
3.168,0.243007,0.387456,0.0531474,0.0137282,0.270978
3.177,0.242632,0.385664,0.0529833,0.0136225,0.272104
3.186,0.242257,0.383877,0.0528195,0.0135175,0.273229
3.195,0.241882,0.382095,0.052656,0.0134131,0.274355
3.204,0.241506,0.380319,0.0524927,0.0133093,0.275481
3.213,0.241131,0.378549,0.0523297,0.0132062,0.276607
3.222,0.240756,0.376784,0.0521669,0.0131038,0.277733
3.231,0.24038,0.375025,0.0520044,0.013002,0.278859
3.24,0.240005,0.373271,0.0518422,0.0129008,0.279985
3.249,0.23963,0.371523,0.0516802,0.0128003,0.281111
3.258,0.239254,0.36978,0.0515184,0.0127003,0.282237
3.267,0.238879,0.368043,0.0513569,0.0126011,0.283362
