Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.248,0,0,0.248,-0.316315,0.752,376,1
-0.246,0,0,0.246,-0.314868,0.754,377,1
-0.244,0,0,0.244,-0.313421,0.756,378,1
-0.242,0,0,0.242,-0.311974,0.758,379,1
-0.24,0,0,0.24,-0.310527,0.76,380,1
-0.238,0,0,0.238,-0.309081,0.762,381,1
-0.236,0,0,0.236,-0.307634,0.764,382,1
-0.234,0,0,0.234,-0.306187,0.766,383,1
-0.232,0,0,0.232,-0.30474,0.768,384,1
-0.23,0,0,0.23,-0.303293,0.77,385,1
-0.228,0,0,0.228,-0.301846,0.772,386,1
-0.226,0,0,0.226,-0.300399,0.774,387,1
-0.224,0,0,0.224,-0.298952,0.776,388,1
-0.222,0,0,0.222,-0.297505,0.778,389,1
-0.22,0,0,0.22,-0.296058,0.78,390,1
-0.218,0,0,0.218,-0.294611,0.782,391,1
-0.216,0,0,0.216,-0.293164,0.784,392,1
-0.214,0,0,0.214,-0.291718,0.786,393,1
-0.212,0,0,0.212,-0.290271,0.788,394,1
-0.21,0,0,0.21,-0.288824,0.79,395,1
-0.208,0,0,0.208,-0.287377,0.792,396,1
-0.206,0,0,0.206,-0.28593,0.794,397,1
-0.204,0,0,0.204,-0.284483,0.796,398,1
-0.202,0,0,0.202,-0.283036,0.798,399,1
-0.2,0,0,0.2,-0.281589,0.8,400,1
-0.198,0,0,0.198,-0.279797,0.802,401,1
-0.196,0,0,0.196,-0.278004,0.804,402,1
-0.194,0,0,0.194,-0.276212,0.806,403,1
-0.192,0,0,0.192,-0.27442,0.808,404,1
-0.19,0,0,0.19,-0.272627,0.81,405,1
-0.188,0,0,0.188,-0.270835,0.812,406,1
-0.186,0,0,0.186,-0.269043,0.814,407,1
-0.184,0,0,0.184,-0.26725,0.816,408,1
-0.182,0,0,0.182,-0.265458,0.818,409,1
-0.18,0,0,0.18,-0.263666,0.82,410,1
-0.178,0,0,0.178,-0.261873,0.822,411,1
-0.176,0,0,0.176,-0.260081,0.824,412,1
-0.174,0,0,0.174,-0.258289,0.826,413,1
-0.172,0,0,0.172,-0.256496,0.828,414,1
-0.17,0,0,0.17,-0.254704,0.83,415,1
-0.168,0,0,0.168,-0.252912,0.832,416,1
-0.166,0,0,0.166,-0.251119,0.834,417,1
-0.164,0,0,0.164,-0.249327,0.836,418,1
-0.162,0,0,0.162,-0.247534,0.838,419,1
-0.16,0,0,0.16,-0.245742,0.84,420,1
-0.158,0,0,0.158,-0.24395,0.842,421,1
-0.156,0,0,0.156,-0.242157,0.844,422,1
-0.154,0,0,0.154,-0.240365,0.846,423,1
-0.152,0,0,0.152,-0.238573,0.848,424,1
-0.15,0,0,0.15,-0.23678,0.85,425,1
-0.148,0,0,0.148,-0.234988,0.852,426,1
-0.146,0,0,0.146,-0.233196,0.854,427,1
-0.144,0,0,0.144,-0.231403,0.856,428,1
-0.142,0,0,0.142,-0.229611,0.858,429,1
-0.14,0,0,0.14,-0.227819,0.86,430,1
