Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.356,0,0,0.356,-0.464352,0.644,322,1
-0.354,0,0,0.354,-0.467868,0.646,323,1
-0.352,0,0,0.352,-0.471384,0.648,324,1
-0.35,0,0,0.35,-0.4749,0.65,325,1
-0.348,0,0,0.348,-0.478416,0.652,326,1
-0.346,0,0,0.346,-0.481932,0.654,327,1
-0.344,0,0,0.344,-0.485448,0.656,328,1
-0.342,0,0,0.342,-0.488964,0.658,329,1
-0.34,0,0,0.34,-0.492481,0.66,330,1
-0.338,0,0,0.338,-0.495997,0.662,331,1
-0.336,0,0,0.336,-0.499513,0.664,332,1
-0.334,0,0,0.334,-0.503029,0.666,333,1
-0.332,0,0,0.332,-0.506358,0.668,334,1
-0.33,0,0,0.33,-0.509593,0.67,335,1
-0.328,0,0,0.328,-0.512828,0.672,336,1
-0.326,0,0,0.326,-0.516063,0.674,337,1
-0.324,0,0,0.324,-0.519298,0.676,338,1
-0.322,0,0,0.322,-0.522533,0.678,339,1
-0.32,0,0,0.32,-0.525769,0.68,340,1
-0.318,0,0,0.318,-0.529004,0.682,341,1
-0.316,0,0,0.316,-0.532239,0.684,342,1
-0.314,0,0,0.314,-0.535474,0.686,343,1
-0.312,0,0,0.312,-0.538709,0.688,344,1
-0.31,0,0,0.31,-0.541944,0.69,345,1
-0.308,0,0,0.308,-0.545179,0.692,346,1
-0.306,0,0,0.306,-0.548415,0.694,347,1
-0.304,0,0,0.304,-0.55165,0.696,348,1
-0.302,0,0,0.302,-0.554885,0.698,349,1
-0.3,0,0,0.3,-0.55812,0.7,350,1
-0.298,0,0,0.298,-0.561355,0.702,351,1
-0.296,0,0,0.296,-0.56459,0.704,352,1
-0.294,0,0,0.294,-0.567826,0.706,353,1
-0.292,0,0,0.292,-0.571061,0.708,354,1
-0.29,0,0,0.29,-0.574296,0.71,355,1
-0.288,0,0,0.288,-0.577531,0.712,356,1
-0.286,0,0,0.286,-0.580766,0.714,357,1
-0.284,0,0,0.284,-0.584001,0.716,358,1
-0.282,0,0,0.282,-0.587236,0.718,359,1
-0.28,0,0,0.28,-0.590472,0.72,360,1
-0.278,0,0,0.278,-0.593707,0.722,361,1
-0.276,0,0,0.276,-0.596942,0.724,362,1
-0.274,0,0,0.274,-0.600177,0.726,363,1
-0.272,0,0,0.272,-0.603412,0.728,364,1
-0.27,0,0,0.27,-0.606647,0.73,365,1
-0.268,0,0,0.268,-0.609883,0.732,366,1
-0.266,0,0,0.266,-0.613007,0.734,367,1
-0.264,0,0,0.264,-0.615911,0.736,368,1
-0.262,0,0,0.262,-0.618815,0.738,369,1
-0.26,0,0,0.26,-0.621719,0.74,370,1
-0.258,0,0,0.258,-0.624623,0.742,371,1
-0.256,0,0,0.256,-0.627527,0.744,372,1
-0.254,0,0,0.254,-0.630431,0.746,373,1
-0.252,0,0,0.252,-0.633335,0.748,374,1
-0.25,0,0,0.25,-0.636238,0.75,375,1
-0.248,0,0,0.248,-0.639142,0.752,376,1
-0.246,0,0,0.246,-0.642046,0.754,377,1
-0.244,0,0,0.244,-0.64495,0.756,378,1
-0.242,0,0,0.242,-0.647854,0.758,379,1
-0.24,0,0,0.24,-0.650758,0.76,380,1
-0.238,0,0,0.238,-0.653662,0.762,381,1
-0.236,0,0,0.236,-0.656566,0.764,382,1
-0.234,0,0,0.234,-0.659469,0.766,383,1
-0.232,0,0,0.232,-0.662373,0.768,384,1
-0.23,0,0,0.23,-0.665277,0.77,385,1
-0.228,0,0,0.228,-0.668181,0.772,386,1
-0.226,0,0,0.226,-0.671085,0.774,387,1
-0.224,0,0,0.224,-0.673989,0.776,388,1
-0.222,0,0,0.222,-0.676893,0.778,389,1
-0.22,0,0,0.22,-0.679797,0.78,390,1
-0.218,0,0,0.218,-0.682701,0.782,391,1
-0.216,0,0,0.216,-0.685604,0.784,392,1
-0.214,0,0,0.214,-0.688508,0.786,393,1
-0.212,0,0,0.212,-0.691412,0.788,394,1
-0.21,0,0,0.21,-0.694316,0.79,395,1
-0.208,0,0,0.208,-0.69722,0.792,396,1
-0.206,0,0,0.206,-0.700124,0.794,397,1
-0.204,0,0,0.204,-0.703028,0.796,398,1
-0.202,0,0,0.202,-0.705932,0.798,399,1
-0.2,0,0,0.2,-0.708836,0.8,400,1
-0.198,0,0,0.198,-0.711365,0.802,401,1
-0.196,0,0,0.196,-0.713894,0.804,402,1
-0.194,0,0,0.194,-0.716423,0.806,403,1
-0.192,0,0,0.192,-0.718952,0.808,404,1
-0.19,0,0,0.19,-0.721481,0.81,405,1
-0.188,0,0,0.188,-0.72401,0.812,406,1
-0.186,0,0,0.186,-0.726539,0.814,407,1
-0.184,0,0,0.184,-0.729068,0.816,408,1
-0.182,0,0,0.182,-0.731597,0.818,409,1
-0.18,0,0,0.18,-0.734126,0.82,410,1
-0.178,0,0,0.178,-0.736655,0.822,411,1
-0.176,0,0,0.176,-0.739184,0.824,412,1
-0.174,0,0,0.174,-0.741713,0.826,413,1
-0.172,0,0,0.172,-0.744242,0.828,414,1
-0.17,0,0,0.17,-0.746771,0.83,415,1
-0.168,0,0,0.168,-0.7493,0.832,416,1
-0.166,0,0,0.166,-0.751829,0.834,417,1
-0.164,0,0,0.164,-0.754358,0.836,418,1
-0.162,0,0,0.162,-0.756887,0.838,419,1
-0.16,0,0,0.16,-0.759416,0.84,420,1
-0.158,0,0,0.158,-0.761945,0.842,421,1
-0.156,0,0,0.156,-0.764474,0.844,422,1
-0.154,0,0,0.154,-0.767003,0.846,423,1
